,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
4,0.5,0.4629187285900116,0.5222222208976746,0.5874999761581421,0.5529412031173706,0.8479999899864197,best,en-cs,dev,89,supervised,second_step_base_auth_data
3,0.5,0.4629187285900116,0.5222222208976746,0.5874999761581421,0.5529412031173706,0.8479999899864197,default,en-cs,dev,89,supervised,second_step_base_auth_data
8,0.1,0.4067065715789795,0.38141027092933655,0.7437499761581421,0.5042372941970825,0.765999972820282,extreme,en-cs,dev,107,supervised,second_step_base_auth_data
16,0.48000000000000004,0.47799715399742126,0.5692307949066162,0.5873016119003296,0.578125,0.8379999995231628,best,en-cs,test,42,supervised,second_step_base_auth_data
24,0.5,0.4844988286495209,0.578125,0.5873016119003296,0.5826771855354309,0.8410000205039978,default,en-cs,test,89,supervised,second_step_base_auth_data
29,0.1,0.43281182646751404,0.4219653308391571,0.7724867463111877,0.5457943677902222,0.7570000290870667,extreme,en-cs,test,107,supervised,second_step_base_auth_data
31,0.61,0.4765012562274933,0.7735849022865295,0.43772241473197937,0.5590909123420715,0.8059999942779541,best,en-de,dev,928,supervised,second_step_base_auth_data
30,0.5,0.47009193897247314,0.7413793206214905,0.4590747356414795,0.5670329928398132,0.8029999732971191,default,en-de,dev,928,supervised,second_step_base_auth_data
32,0.1,0.4467128813266754,0.6363636255264282,0.5480427145957947,0.5889101624488831,0.7850000262260437,extreme,en-de,dev,928,supervised,second_step_base_auth_data
52,0.73,0.43073570728302,0.7714285850524902,0.375,0.5046728849411011,0.7879999876022339,best,en-de,test,107,supervised,second_step_base_auth_data
48,0.5,0.46356526017189026,0.7654321193695068,0.4305555522441864,0.551111102104187,0.7979999780654907,default,en-de,test,42,supervised,second_step_base_auth_data
53,0.1,0.48276975750923157,0.6707317233085632,0.5729166865348816,0.617977499961853,0.7960000038146973,extreme,en-de,test,107,supervised,second_step_base_auth_data
73,0.48000000000000004,0.3879702687263489,0.4301675856113434,0.5460993051528931,0.48124998807907104,0.8339999914169312,best,en-zh,dev,42,supervised,second_step_base_auth_data
66,0.5,0.382702112197876,0.43529412150382996,0.5248227119445801,0.47588425874710083,0.8370000123977661,default,en-zh,dev,107,supervised,second_step_base_auth_data
71,0.1,0.30977436900138855,0.30927833914756775,0.6382978558540344,0.4166666567325592,0.7480000257492065,extreme,en-zh,dev,89,supervised,second_step_base_auth_data
82,0.5,0.28200918436050415,0.386904776096344,0.4113923907279968,0.3987730145454407,0.8040000200271606,best,en-zh,test,89,supervised,second_step_base_auth_data
81,0.5,0.28200918436050415,0.386904776096344,0.4113923907279968,0.3987730145454407,0.8040000200271606,default,en-zh,test,89,supervised,second_step_base_auth_data
80,0.1,0.3319706618785858,0.3123359680175781,0.753164529800415,0.44155845046043396,0.6990000009536743,extreme,en-zh,test,42,supervised,second_step_base_auth_data
