,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
10,0.54,0.499603271484375,0.6000000238418579,0.5647059082984924,0.581818163394928,0.8619999885559082,best,en-cs,dev,42,supervised,second_step_base_demetr_auth_data
3,0.5,0.4900367259979248,0.59375,0.5555555820465088,0.574018120765686,0.859000027179718,default,en-cs,dev,89,supervised,second_step_base_demetr_auth_data
5,0.1,0.4152098298072815,0.75,0.3870967626571655,0.5106382966041565,0.7699999809265137,extreme,en-cs,dev,89,supervised,second_step_base_demetr_auth_data
22,0.58,0.4870023727416992,0.5767195820808411,0.5891891717910767,0.5828877091407776,0.843999981880188,best,en-cs,test,928,supervised,second_step_base_demetr_auth_data
18,0.5,0.4823073446750641,0.5978835821151733,0.5678392052650452,0.5824742317199707,0.8379999995231628,default,en-cs,test,42,supervised,second_step_base_demetr_auth_data
17,0.1,0.43081212043762207,0.7883597612380981,0.4138889014720917,0.5428050756454468,0.7490000128746033,extreme,en-cs,test,2710,supervised,second_step_base_demetr_auth_data
31,0.51,0.5008233189582825,0.5836299061775208,0.680497944355011,0.6283524632453918,0.8059999942779541,best,en-de,dev,107,supervised,second_step_base_demetr_auth_data
39,0.5,0.500369131565094,0.5622775554656982,0.6960352659225464,0.6220472455024719,0.8080000281333923,default,en-de,dev,89,supervised,second_step_base_demetr_auth_data
38,0.1,0.44115081429481506,0.6298932433128357,0.5803278684616089,0.6040955781936646,0.7680000066757202,extreme,en-de,dev,42,supervised,second_step_base_demetr_auth_data
46,0.51,0.524198055267334,0.6215277910232544,0.6884615421295166,0.6532846689224243,0.8100000023841858,best,en-de,test,107,supervised,second_step_base_demetr_auth_data
45,0.5,0.5208618640899658,0.625,0.6818181872367859,0.6521739363670349,0.8080000281333923,default,en-de,test,107,supervised,second_step_base_demetr_auth_data
59,0.1,0.4886631667613983,0.6666666865348816,0.6173633337020874,0.6410684585571289,0.7850000262260437,extreme,en-de,test,42,supervised,second_step_base_demetr_auth_data
67,0.53,0.38713008165359497,0.43262410163879395,0.5041322112083435,0.4656488597393036,0.8600000143051147,best,en-zh,dev,107,supervised,second_step_base_demetr_auth_data
60,0.5,0.38194021582603455,0.43262410163879395,0.49593496322631836,0.46212121844291687,0.8579999804496765,default,en-zh,dev,42,supervised,second_step_base_demetr_auth_data
62,0.1,0.33665379881858826,0.4751773178577423,0.40361446142196655,0.4364820718765259,0.8270000219345093,extreme,en-zh,dev,42,supervised,second_step_base_demetr_auth_data
88,0.53,0.25078046321868896,0.29113924503326416,0.41818180680274963,0.34328359365463257,0.8240000009536743,best,en-zh,test,107,supervised,second_step_base_demetr_auth_data
81,0.5,0.246474027633667,0.3164556920528412,0.3937007784843445,0.35087719559669495,0.8149999976158142,default,en-zh,test,89,supervised,second_step_base_demetr_auth_data
89,0.1,0.265306293964386,0.3670886158943176,0.38926175236701965,0.37785017490386963,0.8090000152587891,extreme,en-zh,test,107,supervised,second_step_base_demetr_auth_data
