,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
4,0.5999999999999996,0.47677338123321533,0.5590062141418457,0.5625,0.5607476830482483,0.859000027179718,best,en-cs,dev,928,supervised,train_monolingual_auth_data
3,0.5,0.4696488082408905,0.5076141953468323,0.625,0.5602241158485413,0.8429999947547913,default,en-cs,dev,928,supervised,train_monolingual_auth_data
8,0.1,0.33084139227867126,0.2717190384864807,0.918749988079071,0.4194008708000183,0.5929999947547913,extreme,en-cs,dev,89,supervised,train_monolingual_auth_data
22,0.6399999999999997,0.45195651054382324,0.5666666626930237,0.5396825671195984,0.5528455376625061,0.8349999785423279,best,en-cs,test,89,supervised,train_monolingual_auth_data
18,0.5,0.45741990208625793,0.5223214030265808,0.6190476417541504,0.5665859580039978,0.8209999799728394,default,en-cs,test,928,supervised,train_monolingual_auth_data
23,0.1,0.37974995374679565,0.31551724672317505,0.9682539701461792,0.47594279050827026,0.597000002861023,extreme,en-cs,test,89,supervised,train_monolingual_auth_data
37,0.5399999999999998,0.4782473146915436,0.7336956262588501,0.4804270565509796,0.5806451439857483,0.8050000071525574,best,en-de,dev,42,supervised,train_monolingual_auth_data
42,0.5,0.47232240438461304,0.7029703259468079,0.5053380727767944,0.5879917144775391,0.8009999990463257,default,en-de,dev,2710,supervised,train_monolingual_auth_data
38,0.1,0.41533827781677246,0.46881288290023804,0.8291814923286438,0.5989717245101929,0.6880000233650208,extreme,en-de,dev,42,supervised,train_monolingual_auth_data
46,0.5300000000000001,0.46655774116516113,0.7079207897186279,0.4965277910232544,0.5836734771728516,0.7960000038146973,best,en-de,test,2710,supervised,train_monolingual_auth_data
48,0.5,0.4626324474811554,0.6801801919937134,0.5243055820465088,0.5921568870544434,0.7919999957084656,default,en-de,test,89,supervised,train_monolingual_auth_data
53,0.1,0.4821538031101227,0.4990328848361969,0.8958333134651184,0.6409937739372253,0.7110000252723694,extreme,en-de,test,42,supervised,train_monolingual_auth_data
73,0.35000000000000003,0.3695542812347412,0.45205479860305786,0.4680851101875305,0.45993030071258545,0.8450000286102295,best,en-zh,dev,2710,supervised,train_monolingual_auth_data
72,0.5,0.36324092745780945,0.4724409580230713,0.42553192377090454,0.447761207818985,0.8519999980926514,default,en-zh,dev,2710,supervised,train_monolingual_auth_data
62,0.1,0.29510366916656494,0.287009060382843,0.673758864402771,0.402542382478714,0.7179999947547913,extreme,en-zh,dev,107,supervised,train_monolingual_auth_data
82,0.35000000000000003,0.26845625042915344,0.40909090638160706,0.3417721390724182,0.3724137842655182,0.8180000185966492,best,en-zh,test,2710,supervised,train_monolingual_auth_data
81,0.5,0.26575177907943726,0.41803279519081116,0.32278481125831604,0.3642857074737549,0.8220000267028809,default,en-zh,test,2710,supervised,train_monolingual_auth_data
77,0.1,0.25963473320007324,0.3888888955116272,0.3544303774833679,0.3708609342575073,0.8100000023841858,extreme,en-zh,test,42,supervised,train_monolingual_auth_data
