,threshold,MCC,precision,recall,f1,accuracy,language_pair,split,seed,model_type
0,0.5,0.47852328419685364,0.6312500238418579,0.5153061151504517,0.567415714263916,0.8460000157356262,en-cs,dev,89,supervised
1,0.5,0.4749188721179962,0.6187499761581421,0.518324613571167,0.5641025900840759,0.847000002861023,en-cs,dev,2710,supervised
2,0.5,0.47218114137649536,0.59375,0.5307262539863586,0.5604719519615173,0.8510000109672546,en-cs,dev,42,supervised
3,0.5,0.4696488082408905,0.625,0.5076141953468323,0.5602241158485413,0.8429999947547913,en-cs,dev,928,supervised
4,0.5,0.47003233432769775,0.612500011920929,0.5157894492149353,0.5600000023841858,0.8460000157356262,en-cs,dev,107,supervised
5,0.5,0.4593089520931244,0.6190476417541504,0.5246636867523193,0.5679611563682556,0.8220000267028809,en-cs,test,89,supervised
6,0.5,0.4669652581214905,0.6190476417541504,0.534246563911438,0.5735294222831726,0.8259999752044678,en-cs,test,2710,supervised
7,0.5,0.45741990208625793,0.6190476417541504,0.5223214030265808,0.5665859580039978,0.8209999799728394,en-cs,test,928,supervised
8,0.5,0.47186389565467834,0.5978835821151733,0.5539215803146362,0.5750635862350464,0.8330000042915344,en-cs,test,42,supervised
9,0.5,0.4588700234889984,0.6137565970420837,0.5272727012634277,0.567237138748169,0.8230000138282776,en-cs,test,107,supervised
10,0.5,0.47232240438461304,0.5053380727767944,0.7029703259468079,0.5879917144775391,0.8009999990463257,en-de,dev,2710,supervised
11,0.5,0.480960875749588,0.5124555230140686,0.7093595862388611,0.5950413346290588,0.8040000200271606,en-de,dev,107,supervised
12,0.5,0.48340481519699097,0.5124555230140686,0.7128713130950928,0.5962733030319214,0.8050000071525574,en-de,dev,928,supervised
13,0.5,0.4797207713127136,0.5302491188049316,0.6930232644081116,0.600806474685669,0.8019999861717224,en-de,dev,89,supervised
14,0.5,0.4772101640701294,0.5053380727767944,0.7099999785423279,0.590436577796936,0.8029999732971191,en-de,dev,42,supervised
15,0.5,0.4817432761192322,0.5138888955116272,0.7149758338928223,0.5979797840118408,0.8009999990463257,en-de,test,928,supervised
16,0.5,0.4775404632091522,0.5173611044883728,0.7061611413955688,0.5971943736076355,0.7990000247955322,en-de,test,2710,supervised
17,0.5,0.4841794967651367,0.5138888955116272,0.7184466123580933,0.5991902947425842,0.8019999861717224,en-de,test,42,supervised
18,0.5,0.47387924790382385,0.5104166865348816,0.7067307829856873,0.5927419066429138,0.7979999780654907,en-de,test,107,supervised
19,0.5,0.4626324474811554,0.5243055820465088,0.6801801919937134,0.5921568870544434,0.7919999957084656,en-de,test,89,supervised
20,0.5,0.36324092745780945,0.42553192377090454,0.4724409580230713,0.447761207818985,0.8519999980926514,en-zh,dev,2710,supervised
21,0.5,0.37398475408554077,0.4680851101875305,0.4583333432674408,0.46315789222717285,0.847000002861023,en-zh,dev,928,supervised
22,0.5,0.3920905292034149,0.39716312289237976,0.5436893105506897,0.4590163826942444,0.8679999709129333,en-zh,dev,42,supervised
23,0.5,0.37130650877952576,0.5106382966041565,0.4285714328289032,0.4660194218158722,0.8349999785423279,en-zh,dev,107,supervised
24,0.5,0.38077428936958313,0.4680851101875305,0.4680851101875305,0.4680851101875305,0.8500000238418579,en-zh,dev,89,supervised
25,0.5,0.2803061306476593,0.3544303774833679,0.41791045665740967,0.3835616409778595,0.8199999928474426,en-zh,test,89,supervised
26,0.5,0.328977108001709,0.43670886754989624,0.43396225571632385,0.43533122539520264,0.8209999799728394,en-zh,test,107,supervised
27,0.5,0.2909323275089264,0.3164556920528412,0.46296295523643494,0.37593984603881836,0.8339999914169312,en-zh,test,42,supervised
28,0.5,0.26575177907943726,0.32278481125831604,0.41803279519081116,0.3642857074737549,0.8220000267028809,en-zh,test,2710,supervised
29,0.5,0.27148860692977905,0.3607594966888428,0.40140846371650696,0.3799999952316284,0.8140000104904175,en-zh,test,928,supervised
