,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
1,0.26,0.48893076181411743,0.5625,0.5769230723381042,0.5696202516555786,0.8640000224113464,best,en-cs,dev,-,0.csv,train_monolingual_auth_data_calibrated
0,0.5,0.39342114329338074,0.30000001192092896,0.6857143044471741,0.417391300201416,0.8659999966621399,default,en-cs,dev,-,0.csv,train_monolingual_auth_data_calibrated
2,0.1,0.3948254883289337,0.8812500238418579,0.3256351053714752,0.47554805874824524,0.6890000104904175,extreme,en-cs,dev,-,0.csv,train_monolingual_auth_data_calibrated
4,0.26,0.46069037914276123,0.5555555820465088,0.5675675868988037,0.5614973306655884,0.8360000252723694,best,en-cs,test,-,0.csv,train_monolingual_auth_data_calibrated
3,0.5,0.3840743601322174,0.30687829852104187,0.6823529601097107,0.42335766553878784,0.8420000076293945,default,en-cs,test,-,0.csv,train_monolingual_auth_data_calibrated
5,0.1,0.40620705485343933,0.8783068656921387,0.3616557717323303,0.5123456716537476,0.6840000152587891,extreme,en-cs,test,-,0.csv,train_monolingual_auth_data_calibrated
7,0.38,0.4844087064266205,0.5302491188049316,0.6995305418968201,0.6032388806343079,0.8040000200271606,best,en-de,dev,-,0.csv,train_monolingual_auth_data_calibrated
6,0.5,0.4844087064266205,0.5302491188049316,0.6995305418968201,0.6032388806343079,0.8040000200271606,default,en-de,dev,-,0.csv,train_monolingual_auth_data_calibrated
8,0.1,0.3574686050415039,0.8932384252548218,0.40813007950782776,0.5602678656578064,0.6060000061988831,extreme,en-de,dev,-,0.csv,train_monolingual_auth_data_calibrated
10,0.38,0.45654308795928955,0.5173611044883728,0.6772727370262146,0.586614191532135,0.7900000214576721,best,en-de,test,-,0.csv,train_monolingual_auth_data_calibrated
9,0.5,0.45654308795928955,0.5173611044883728,0.6772727370262146,0.586614191532135,0.7900000214576721,default,en-de,test,-,0.csv,train_monolingual_auth_data_calibrated
11,0.1,0.4118231236934662,0.9409722089767456,0.43152865767478943,0.5917030572891235,0.6259999871253967,extreme,en-de,test,-,0.csv,train_monolingual_auth_data_calibrated
13,0.18,0.34802067279815674,0.3854166567325592,0.43023255467414856,0.4065934121608734,0.8920000195503235,best,en-ja,dev,-,0.csv,train_monolingual_auth_data_calibrated
12,0.5,0.21973571181297302,0.1041666641831398,0.5882353186607361,0.17699114978313446,0.9070000052452087,default,en-ja,dev,-,0.csv,train_monolingual_auth_data_calibrated
14,0.1,0.2856537401676178,0.65625,0.23507462441921234,0.3461538553237915,0.7620000243186951,extreme,en-ja,dev,-,0.csv,train_monolingual_auth_data_calibrated
16,0.18,0.1734403818845749,0.23170731961727142,0.2467532455921173,0.23899370431900024,0.8790000081062317,best,en-ja,test,-,0.csv,train_monolingual_auth_data_calibrated
15,0.5,0.03400919586420059,0.024390242993831635,0.1666666716337204,0.042553190141916275,0.9100000262260437,default,en-ja,test,-,0.csv,train_monolingual_auth_data_calibrated
17,0.1,0.2284974902868271,0.5853658318519592,0.18972331285476685,0.28656715154647827,0.7609999775886536,extreme,en-ja,test,-,0.csv,train_monolingual_auth_data_calibrated
19,0.23,0.38077428936958313,0.4680851101875305,0.4680851101875305,0.4680851101875305,0.8500000238418579,best,en-zh,dev,-,0.csv,train_monolingual_auth_data_calibrated
18,0.5,0.3240297734737396,0.22695034742355347,0.6274510025978088,0.3333333432674408,0.871999979019165,default,en-zh,dev,-,0.csv,train_monolingual_auth_data_calibrated
20,0.1,0.2819685935974121,0.8439716100692749,0.23991934955120087,0.37362638115882874,0.6010000109672546,extreme,en-zh,dev,-,0.csv,train_monolingual_auth_data_calibrated
22,0.23,0.24606749415397644,0.3291139304637909,0.385185182094574,0.35494881868362427,0.8109999895095825,best,en-zh,test,-,0.csv,train_monolingual_auth_data_calibrated
21,0.5,0.26465412974357605,0.18987341225147247,0.5660377144813538,0.28436020016670227,0.8489999771118164,default,en-zh,test,-,0.csv,train_monolingual_auth_data_calibrated
23,0.1,0.2617863714694977,0.8101266026496887,0.25196850299835205,0.3843843936920166,0.5899999737739563,extreme,en-zh,test,-,0.csv,train_monolingual_auth_data_calibrated
