,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
0,0.5,0.3356368839740753,0.3645833432674408,0.4268292784690857,0.3932584226131439,0.8920000195503235,default,en-ja,dev,2710,supervised,train_monolingual_auth_data_enja
1,0.52,0.34501734375953674,0.3645833432674408,0.4430379867553711,0.4000000059604645,0.8949999809265137,best,en-ja,dev,2710,supervised,train_monolingual_auth_data_enja
2,0.1,0.30376848578453064,0.4270833432674408,0.3360655605792999,0.3761467933654785,0.8640000224113464,extreme,en-ja,dev,2710,supervised,train_monolingual_auth_data_enja
3,0.5,0.3244263827800751,0.3020833432674408,0.4677419364452362,0.3670886158943176,0.8999999761581421,default,en-ja,dev,107,supervised,train_monolingual_auth_data_enja
4,0.44,0.3409324288368225,0.3229166567325592,0.4769230782985687,0.38509318232536316,0.9010000228881836,best,en-ja,dev,107,supervised,train_monolingual_auth_data_enja
5,0.1,0.33300355076789856,0.375,0.4137931168079376,0.39344263076782227,0.8889999985694885,extreme,en-ja,dev,107,supervised,train_monolingual_auth_data_enja
6,0.5,0.3471352458000183,0.3333333432674408,0.4776119291782379,0.39263802766799927,0.9010000228881836,default,en-ja,dev,928,supervised,train_monolingual_auth_data_enja
7,0.47000000000000003,0.3471352458000183,0.3333333432674408,0.4776119291782379,0.39263802766799927,0.9010000228881836,best,en-ja,dev,928,supervised,train_monolingual_auth_data_enja
8,0.1,0.3296293616294861,0.3645833432674408,0.4166666567325592,0.3888888955116272,0.8899999856948853,extreme,en-ja,dev,928,supervised,train_monolingual_auth_data_enja
9,0.5,0.33886709809303284,0.375,0.42352941632270813,0.3977900445461273,0.890999972820282,default,en-ja,dev,42,supervised,train_monolingual_auth_data_enja
10,0.48999999999999994,0.34802067279815674,0.3854166567325592,0.43023255467414856,0.4065934121608734,0.8920000195503235,best,en-ja,dev,42,supervised,train_monolingual_auth_data_enja
11,0.1,0.30029937624931335,0.4479166567325592,0.3208955228328705,0.373913049697876,0.8560000061988831,extreme,en-ja,dev,42,supervised,train_monolingual_auth_data_enja
12,0.5,0.343463659286499,0.3333333432674408,0.47058823704719543,0.39024388790130615,0.8999999761581421,default,en-ja,dev,89,supervised,train_monolingual_auth_data_enja
13,0.52,0.3471352458000183,0.3333333432674408,0.4776119291782379,0.39263802766799927,0.9010000228881836,best,en-ja,dev,89,supervised,train_monolingual_auth_data_enja
14,0.1,0.2996113896369934,0.3645833432674408,0.3684210479259491,0.3664921522140503,0.8790000081062317,extreme,en-ja,dev,89,supervised,train_monolingual_auth_data_enja
15,0.5,0.17561104893684387,0.23170731961727142,0.25,0.2405063360929489,0.8799999952316284,default,en-ja,test,42,supervised,train_monolingual_auth_data_enja
16,0.48999999999999994,0.1734403818845749,0.23170731961727142,0.2467532455921173,0.23899370431900024,0.8790000081062317,best,en-ja,test,42,supervised,train_monolingual_auth_data_enja
17,0.1,0.2819179892539978,0.4390243887901306,0.2857142984867096,0.3461538553237915,0.8640000224113464,extreme,en-ja,test,42,supervised,train_monolingual_auth_data_enja
18,0.5,0.1800963580608368,0.2073170691728592,0.27419355511665344,0.2361111044883728,0.8899999856948853,default,en-ja,test,89,supervised,train_monolingual_auth_data_enja
19,0.52,0.1800963580608368,0.2073170691728592,0.27419355511665344,0.2361111044883728,0.8899999856948853,best,en-ja,test,89,supervised,train_monolingual_auth_data_enja
20,0.1,0.194326713681221,0.26829269528388977,0.25581395626068115,0.261904776096344,0.8759999871253967,extreme,en-ja,test,89,supervised,train_monolingual_auth_data_enja
21,0.5,0.13328596949577332,0.15853658318519592,0.2321428507566452,0.18840579688549042,0.8880000114440918,default,en-ja,test,107,supervised,train_monolingual_auth_data_enja
22,0.44,0.13328596949577332,0.15853658318519592,0.2321428507566452,0.18840579688549042,0.8880000114440918,best,en-ja,test,107,supervised,train_monolingual_auth_data_enja
23,0.1,0.20098909735679626,0.2804878056049347,0.2584269642829895,0.26900583505630493,0.875,extreme,en-ja,test,107,supervised,train_monolingual_auth_data_enja
24,0.5,0.1726604700088501,0.19512194395065308,0.2711864411830902,0.22695034742355347,0.890999972820282,default,en-ja,test,928,supervised,train_monolingual_auth_data_enja
25,0.47000000000000003,0.1726604700088501,0.19512194395065308,0.2711864411830902,0.22695034742355347,0.890999972820282,best,en-ja,test,928,supervised,train_monolingual_auth_data_enja
26,0.1,0.21621765196323395,0.2804878056049347,0.2804878056049347,0.2804878056049347,0.8820000290870667,extreme,en-ja,test,928,supervised,train_monolingual_auth_data_enja
27,0.5,0.16613595187664032,0.2195121943950653,0.2432432472705841,0.23076923191547394,0.8799999952316284,default,en-ja,test,2710,supervised,train_monolingual_auth_data_enja
28,0.52,0.168328657746315,0.2195121943950653,0.24657534062862396,0.23225806653499603,0.8809999823570251,best,en-ja,test,2710,supervised,train_monolingual_auth_data_enja
29,0.1,0.25021329522132874,0.37804877758026123,0.2743362784385681,0.31794872879981995,0.8669999837875366,extreme,en-ja,test,2710,supervised,train_monolingual_auth_data_enja
