,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
4,0.36999999999999994,0.45961812138557434,0.65625,0.47727271914482117,0.5526315569877625,0.8299999833106995,best,en-cs,dev,89,supervised,train_multilingual_auth_data_all
3,0.5,0.44332635402679443,0.581250011920929,0.5,0.5375722646713257,0.8399999737739563,default,en-cs,dev,89,supervised,train_multilingual_auth_data_all
2,0.1,0.4285227358341217,0.6937500238418579,0.4236641228199005,0.5260663628578186,0.800000011920929,extreme,en-cs,dev,107,supervised,train_multilingual_auth_data_all
22,0.56,0.4948434829711914,0.5396825671195984,0.6296296119689941,0.5811966061592102,0.8529999852180481,best,en-cs,test,42,supervised,train_multilingual_auth_data_all
21,0.5,0.4831692576408386,0.5608465671539307,0.5955055952072144,0.5776566863059998,0.8450000286102295,default,en-cs,test,42,supervised,train_multilingual_auth_data_all
23,0.1,0.4774302840232849,0.6984127163887024,0.5019011497497559,0.5840708017349243,0.8119999766349792,extreme,en-cs,test,42,supervised,train_multilingual_auth_data_all
40,0.55,0.47604891657829285,0.5444839596748352,0.6769911646842957,0.6035503149032593,0.7990000247955322,best,en-de,dev,42,supervised,train_multilingual_auth_data_all
39,0.5,0.4760358929634094,0.5622775554656982,0.6638655662536621,0.6088631749153137,0.796999990940094,default,en-de,dev,42,supervised,train_multilingual_auth_data_all
32,0.1,0.47039875388145447,0.6619216799736023,0.5942491888999939,0.6262626051902771,0.777999997138977,extreme,en-de,dev,928,supervised,train_multilingual_auth_data_all
46,0.11,0.5313258767127991,0.7395833134651184,0.6209912300109863,0.6751188635826111,0.7950000166893005,best,en-de,test,928,supervised,train_multilingual_auth_data_all
57,0.5,0.5025749206542969,0.6458333134651184,0.6458333134651184,0.6458333134651184,0.7960000038146973,default,en-de,test,89,supervised,train_multilingual_auth_data_all
47,0.1,0.5308607220649719,0.7430555820465088,0.6184971332550049,0.6750788688659668,0.7940000295639038,extreme,en-de,test,928,supervised,train_multilingual_auth_data_all
67,0.05,0.3112429082393646,0.6666666865348816,0.2539682686328888,0.36781609058380127,0.7799999713897705,best,en-ja,dev,42,supervised,train_multilingual_auth_data_all
63,0.5,0.3038201332092285,0.4166666567325592,0.34188035130500793,0.3755868673324585,0.8669999837875366,default,en-ja,dev,928,supervised,train_multilingual_auth_data_all
62,0.1,0.2970494031906128,0.6979166865348816,0.23426572978496552,0.35078534483909607,0.7519999742507935,extreme,en-ja,dev,89,supervised,train_multilingual_auth_data_all
85,0.09,0.27911022305488586,0.5853658318519592,0.23188406229019165,0.3321799337863922,0.8069999814033508,best,en-ja,test,2710,supervised,train_multilingual_auth_data_all
75,0.5,0.2617258131504059,0.39024388790130615,0.28318583965301514,0.3282051384449005,0.8690000176429749,default,en-ja,test,89,supervised,train_multilingual_auth_data_all
86,0.1,0.28537893295288086,0.5853658318519592,0.23762376606464386,0.3380281627178192,0.8119999766349792,extreme,en-ja,test,2710,supervised,train_multilingual_auth_data_all
94,0.71,0.3832018971443176,0.39716312289237976,0.5283018946647644,0.4534412920475006,0.8650000095367432,best,en-zh,dev,89,supervised,train_multilingual_auth_data_all
90,0.5,0.36019235849380493,0.4822694957256317,0.4303797483444214,0.454849511384964,0.8370000123977661,default,en-zh,dev,928,supervised,train_multilingual_auth_data_all
104,0.1,0.3363117277622223,0.6666666865348816,0.32413792610168457,0.43619489669799805,0.7570000290870667,extreme,en-zh,dev,107,supervised,train_multilingual_auth_data_all
118,0.71,0.30335497856140137,0.3291139304637909,0.4727272689342499,0.38805970549583435,0.8360000252723694,best,en-zh,test,89,supervised,train_multilingual_auth_data_all
105,0.5,0.31981563568115234,0.46202531456947327,0.4078212380409241,0.43323442339897156,0.8090000152587891,default,en-zh,test,107,supervised,train_multilingual_auth_data_all
113,0.1,0.3383863866329193,0.6265822649002075,0.35740071535110474,0.45517241954803467,0.7630000114440918,extreme,en-zh,test,2710,supervised,train_multilingual_auth_data_all
