,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
2,0.48999999999999994,0.47837746143341064,0.5268816947937012,0.612500011920929,0.5664739608764648,0.8500000238418579,best,en-cs,dev,107,supervised,train_multilingual_auth_data_single
7,0.5,0.47837746143341064,0.5268816947937012,0.612500011920929,0.5664739608764648,0.8500000238418579,default,en-cs,dev,107,supervised,train_multilingual_auth_data_single
12,0.1,0.4112929403781891,0.3833865821361542,0.75,0.5073995590209961,0.7670000195503235,extreme,en-cs,dev,107,supervised,train_multilingual_auth_data_single
17,0.55,0.4838789403438568,0.604651153087616,0.5502645373344421,0.5761772990226746,0.847000002861023,best,en-cs,test,928,supervised,train_multilingual_auth_data_single
22,0.5,0.47853854298591614,0.5523809790611267,0.6137565970420837,0.5814536213874817,0.8330000042915344,default,en-cs,test,89,supervised,train_multilingual_auth_data_single
27,0.1,0.4596591889858246,0.4364161789417267,0.7989417910575867,0.5644859671592712,0.7670000195503235,extreme,en-cs,test,107,supervised,train_multilingual_auth_data_single
32,0.45999999999999996,0.47775790095329285,0.5962145328521729,0.6725978851318359,0.6321070194244385,0.7799999713897705,best,en-de,dev,89,supervised,train_multilingual_auth_data_single
37,0.5,0.46947264671325684,0.6095890402793884,0.6334519386291504,0.62129145860672,0.7829999923706055,default,en-de,dev,2710,supervised,train_multilingual_auth_data_single
42,0.1,0.3885505497455597,0.4504854381084442,0.8256227970123291,0.5829145908355713,0.6679999828338623,extreme,en-de,dev,2710,supervised,train_multilingual_auth_data_single
47,0.48999999999999994,0.5087388157844543,0.6230529546737671,0.6944444179534912,0.656814455986023,0.7910000085830688,best,en-de,test,2710,supervised,train_multilingual_auth_data_single
52,0.5,0.512310266494751,0.6269592642784119,0.6944444179534912,0.6589785814285278,0.7929999828338623,default,en-de,test,42,supervised,train_multilingual_auth_data_single
57,0.1,0.4492526352405548,0.4784240126609802,0.8854166865348816,0.6211936473846436,0.6890000104904175,extreme,en-de,test,42,supervised,train_multilingual_auth_data_single
62,0.47000000000000003,0.3302987515926361,0.3488371968269348,0.46875,0.4000000059604645,0.8650000095367432,best,en-ja,dev,928,supervised,train_multilingual_auth_data_single
67,0.5,0.3227356970310211,0.35593220591545105,0.4375,0.3925233781337738,0.8700000047683716,default,en-ja,dev,89,supervised,train_multilingual_auth_data_single
72,0.1,0.2906980514526367,0.2832369804382324,0.5104166865348816,0.3643122613430023,0.8289999961853027,extreme,en-ja,dev,89,supervised,train_multilingual_auth_data_single
77,0.29,0.21390841901302338,0.24561403691768646,0.3414634168148041,0.2857142984867096,0.8600000143051147,best,en-ja,test,107,supervised,train_multilingual_auth_data_single
82,0.5,0.2090734839439392,0.32692307233810425,0.2073170691728592,0.2537313401699066,0.8999999761581421,default,en-ja,test,42,supervised,train_multilingual_auth_data_single
87,0.1,0.275433748960495,0.22857142984867096,0.5853658318519592,0.3287671208381653,0.8040000200271606,extreme,en-ja,test,928,supervised,train_multilingual_auth_data_single
92,0.48000000000000004,0.3900763690471649,0.4367816150188446,0.5390070676803589,0.48253968358039856,0.8370000123977661,best,en-zh,dev,2710,supervised,train_multilingual_auth_data_single
97,0.5,0.3886871039867401,0.443113774061203,0.5248227119445801,0.48051947355270386,0.8399999737739563,default,en-zh,dev,2710,supervised,train_multilingual_auth_data_single
102,0.1,0.31063312292099,0.2996845543384552,0.673758864402771,0.41484716534614563,0.7319999933242798,extreme,en-zh,dev,107,supervised,train_multilingual_auth_data_single
107,0.52,0.3057054579257965,0.4035087823867798,0.43670886754989624,0.41945287585258484,0.8090000152587891,best,en-zh,test,928,supervised,train_multilingual_auth_data_single
112,0.5,0.3080904185771942,0.4135802388191223,0.42405062913894653,0.41874998807907104,0.8140000104904175,default,en-zh,test,2710,supervised,train_multilingual_auth_data_single
117,0.1,0.3303687274456024,0.32551318407058716,0.702531635761261,0.44488978385925293,0.7229999899864197,extreme,en-zh,test,42,supervised,train_multilingual_auth_data_single
