,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
0,0.5,0.46584758162498474,0.5763888955116272,0.518750011920929,0.5460526347160339,0.8619999885559082,default,en-cs,dev,89,supervised,train_multilingual_auth_demetr_data_single
1,0.49,0.4684402346611023,0.5753424763679504,0.5249999761581421,0.5490196347236633,0.8619999885559082,best,en-cs,dev,89,supervised,train_multilingual_auth_demetr_data_single
2,0.1,0.43649667501449585,0.44398340582847595,0.668749988079071,0.5336658358573914,0.8130000233650208,extreme,en-cs,dev,89,supervised,train_multilingual_auth_demetr_data_single
3,0.5,0.48635223507881165,0.5827814340591431,0.550000011920929,0.5659164190292358,0.8650000095367432,default,en-cs,dev,107,supervised,train_multilingual_auth_demetr_data_single
4,0.54,0.49451446533203125,0.6056337952613831,0.5375000238418579,0.5695364475250244,0.8700000047683716,best,en-cs,dev,107,supervised,train_multilingual_auth_demetr_data_single
5,0.1,0.42945659160614014,0.4033898413181305,0.7437499761581421,0.5230769515037537,0.7829999923706055,extreme,en-cs,dev,107,supervised,train_multilingual_auth_demetr_data_single
6,0.5,0.4838901162147522,0.5890411138534546,0.5375000238418579,0.5620915293693542,0.8659999966621399,default,en-cs,dev,2710,supervised,train_multilingual_auth_demetr_data_single
7,0.49,0.4838901162147522,0.5890411138534546,0.5375000238418579,0.5620915293693542,0.8659999966621399,best,en-cs,dev,2710,supervised,train_multilingual_auth_demetr_data_single
8,0.1,0.418049693107605,0.38036808371543884,0.7749999761581421,0.5102880597114563,0.7620000243186951,extreme,en-cs,dev,2710,supervised,train_multilingual_auth_demetr_data_single
9,0.5,0.47389599680900574,0.5641025900840759,0.550000011920929,0.5569620132446289,0.8600000143051147,default,en-cs,dev,928,supervised,train_multilingual_auth_demetr_data_single
10,0.5,0.47389599680900574,0.5641025900840759,0.550000011920929,0.5569620132446289,0.8600000143051147,best,en-cs,dev,928,supervised,train_multilingual_auth_demetr_data_single
11,0.1,0.408255010843277,0.3924914598464966,0.71875,0.50772625207901,0.7770000100135803,extreme,en-cs,dev,928,supervised,train_multilingual_auth_demetr_data_single
12,0.5,0.4659828543663025,0.5869565010070801,0.5062500238418579,0.5436241626739502,0.8640000224113464,default,en-cs,dev,42,supervised,train_multilingual_auth_demetr_data_single
13,0.52,0.47691798210144043,0.60447758436203,0.5062500238418579,0.5510203838348389,0.8679999709129333,best,en-cs,dev,42,supervised,train_multilingual_auth_demetr_data_single
14,0.1,0.4393973648548126,0.42965778708457947,0.706250011920929,0.5342789888381958,0.8029999732971191,extreme,en-cs,dev,42,supervised,train_multilingual_auth_demetr_data_single
15,0.5,0.4052317440509796,0.5666666626930237,0.44973546266555786,0.501474916934967,0.8309999704360962,default,en-cs,test,89,supervised,train_multilingual_auth_demetr_data_single
16,0.49,0.4050214886665344,0.5620915293693542,0.45502644777297974,0.5029239654541016,0.8299999833106995,best,en-cs,test,89,supervised,train_multilingual_auth_demetr_data_single
17,0.1,0.45342501997947693,0.47017544507980347,0.7089946866035461,0.5654008388519287,0.7940000295639038,extreme,en-cs,test,89,supervised,train_multilingual_auth_demetr_data_single
18,0.5,0.41211679577827454,0.5686274766921997,0.460317462682724,0.5087719559669495,0.8320000171661377,default,en-cs,test,2710,supervised,train_multilingual_auth_demetr_data_single
19,0.49,0.4235520362854004,0.5732483863830566,0.4761904776096344,0.5202311873435974,0.8339999914169312,best,en-cs,test,2710,supervised,train_multilingual_auth_demetr_data_single
20,0.1,0.4326242208480835,0.41144412755966187,0.7989417910575867,0.5431654453277588,0.7459999918937683,extreme,en-cs,test,2710,supervised,train_multilingual_auth_demetr_data_single
21,0.5,0.41616398096084595,0.5502958297729492,0.4920634925365448,0.5195530652999878,0.828000009059906,default,en-cs,test,928,supervised,train_multilingual_auth_demetr_data_single
22,0.5,0.41616398096084595,0.5502958297729492,0.4920634925365448,0.5195530652999878,0.828000009059906,best,en-cs,test,928,supervised,train_multilingual_auth_demetr_data_single
23,0.1,0.43801456689834595,0.4289940893650055,0.7671957612037659,0.5502846240997314,0.7630000114440918,extreme,en-cs,test,928,supervised,train_multilingual_auth_demetr_data_single
