,train_type,experiment_group,en-cs,en-de,en-ja,en-zh
0,One-step,train_monolingual_auth_data,0.4785232841968536,0.4834048151969909,,0.3920905292034149
1,One-step,train_monolingual_auth_data_enja,,,0.3471352458000183,
2,One-step,train_multilingual_auth_data_all,0.4433263540267944,0.4760358929634094,0.3038201332092285,0.3601923584938049
3,One-step,train_multilingual_auth_data_single,0.4847325086593628,0.4730955958366394,0.3321824669837951,0.3959987759590149
4,One-step,train_multilingual_auth_demetr_data_single,0.4863522350788116,0.4944872558116913,0.33880215883255,0.3759481310844421
5,One-step,train_multilingual_auth_wmt22_data_single,,0.4754711985588074,,
6,Two-step,second_step_base_auth_data,0.4688315391540527,0.4790746569633484,,0.3959987759590149
7,Two-step,second_step_base_auth_data_enja,,,0.3342278301715851,
8,Two-step,second_step_base_demetr_auth_data,0.4900367259979248,0.500369131565094,,0.3819402158260345
9,Two-step,second_step_base_demetr_auth_data_enja,,,0.3266951441764831,
10,Two-step,second_step_base_demetr_data,0.4809823930263519,0.5195613503456116,,0.3455634415149688
11,Two-step,second_step_base_demetr_data_enja,,,0.3392626345157623,
12,Two-step,second_step_base_wmt22_data,,0.4741024374961853,,
13,Two-step,second_step_base_wmt22_small_data,,0.4796747863292694,,
